FT 3000 6000 9000 12000 18000 24000 30000 34000 39000
ABI NA 1014+26 1015+17 1117+09 1120-06 1122-17 112435 122044 103053
ABQ NA NA 1421+21 1422+12 1632-04 1426-16 092331 072939 063950
ABR 0817 1714+18 2319+14 2640+10 2540-07 2746-15 275330 275340 295653
ACK 2815 3014+17 3415+12 3422+06 3424-08 3433-19 354335 345545 333751
ACY 2615 2915+18 3307+14 3407+08 3113-08 3525-17 342634 343244 342653
AGC 2508 3014+19 3012+14 3017+10 3222-05 3325-16 353232 353844 342954
ALB 2613 2919+17 2820+12 2625+07 3026-08 3129-18 312935 323746 314851
ALS NA NA NA 1816+13 1726-05 1625-16 122530 102939 083251
AMA NA 1516 1516+18 1617+13 1511-05 1325-17 123734 113743 092552
AST 3512 9900+13 9900+08 2410+03 2525-09 2529-22 253640 243648 216351
ATL 1306 1406+16 0611+16 0524+10 0524-05 0521-17 072933 063043 091552
AVP 2512 3117+18 2917+13 2818+08 2918-07 3226-18 333134 323644 323352
AXN 0513 1106+16 2525+13 2833+07 2849-07 2853-16 285730 286140 295954
BAM NA NA 1811+10 1713+05 1851-06 1964-15 187229 186839 197350
BCE NA NA NA 1532+11 1649-05 1747-15 174627 163638 203650
BDL 2614 3012+18 3014+12 2916+07 3124-08 3331-17 322835 324346 313851
BFF NA 1624 1730+19 2133+12 2230-03 2234-15 232229 211240 280752
BGR 2620 3020+11 3127+11 3130+06 3137-09 3141-22 335837 336047 304848
BHM 1207 1308+19 0620+17 0630+10 0626-06 0523-17 083233 073142 120653
BIH NA 9900 0106+08 1108+03 1656-05 1756-15 175528 166437 197248
BIL NA 1605 2116+11 2336+06 2463-05 2468-15 236830 237740 247753
BLH 1544 1551+16 1556+12 1651+07 1657-02 1759-12 165827 174836 183448
BML 2619 3025+14 2918+12 2824+06 3033-09 3141-18 315137 325347 315350
BNA 1909 3509+25 3621+19 0123+11 0316-06 0213-15 031133 041943 042155
BOI NA 1307+15 1909+10 1916+04 2024-07 2167-15 207430 208139 218552
BOS 2718 3112+16 3120+12 3121+06 3223-08 3335-18 333836 335246 313951
BRL 0812 9900+25 3005+20 3113+13 3319-04 3116-16 041331 021542 012254
BRO 1013 0713+20 0614+14 0620+08 0929-05 1123-17 122133 132544 132455
BUF 2721 3011+15 2918+12 3021+08 3123-04 3134-17 344133 345444 315254
CAE 1907 9900+16 9900+13 0411+09 0420-05 0424-17 053233 053344 062753
CAR 2521 2917+11 3026+09 3131+04 3141-10 3145-22 327138 326547 315147
CGI 2410 3510+27 3414+20 3613+12 0409-07 0316-16 020732 030943 041455
CHS 1909 9900+17 9900+12 0406+08 0418-05 0426-18 054034 043543 351651
CLE 2508 3612+18 3221+16 3128+10 3226-05 3322-15 352932 353644 333654
CLL 0712 0613+24 0613+15 0726+10 0624-06 0919-17 101334 130944 151355
CMH 2606 3411+19 3417+18 3324+11 3223-06 3222-15 022532 362844 352455
COU 9900 2806+27 3111+20 0107+14 3511-06 0209-16 010832 010942 041154
CRP 1212 0820+20 0827+13 0824+10 0933-06 1131-17 112333 122443 122956
CRW 2405 2910+21 3410+15 3511+11 3617-05 3419-16 342133 362343 012455
CSG 1109 1210+16 0812+16 0619+10 0626-05 0521-17 073532 072541 990052
CVG 9900 3411+19 0115+20 3617+12 3515-07 3212-16 011832 362043 361554
CZI NA NA 1515+17 2026+11 2436-04 2339-15 245029 244139 254352
DAL 0718 0718+24 1020+18 1022+10 0618-06 0710-17 102734 103544 103353
DBQ 0711 0608+21 2811+18 2817+11 3023-05 2818-15 302131 331842 353455
DEN NA NA 1725+21 1920+14 2021-03 1828-16 182329 121738 061451
DIK NA 1625+10 2323+12 2434+08 2449-07 2652-16 267030 267441 278153
DLH 0110 3011+15 2726+11 2840+05 2854-07 2862-17 296531 297741 308354
DLN NA NA 2022+10 2323+05 2244-06 2269-16 227830 228440 238252
DRT 1216 1116+23 1118+14 1026+10 1137-06 1228-17 111733 131744 121356
DSM 0609 1011+22 2907+20 3116+13 3020-04 3019-16 990031 011742 022854
ECK 2807 3416+17 3319+13 3225+10 3131-05 3028-16 324232 325143 315356
EKN NA 2613+20 3313+14 3411+10 3417-05 3323-16 342833 352844 362355
ELP NA 1220 1221+20 1220+11 1531-05 1123-17 051433 022239 023050
ELY NA NA 1619+13 1849+08 1866-05 1860-14 186829 195638 195051
EMI 2310 3016+19 3213+13 3110+08 3114-07 3326-17 343133 343644 352354
EVV 2006 3314+26 3421+19 3621+12 0311-06 3615-16 331432 351543 021455
EYW 1025 1120+16 1220+12 1215+06 1319-05 1315-15 110829 120539 990053
FAT 1106 0809+16 0710+10 9900+03 1639-06 1552-15 166128 177338 187248
GPI NA 1810+16 2108+10 2311+03 2522-11 2442-21 238333 731741 732854
FLO 2010 2607+16 9900+15 0511+10 0422-05 0526-17 043333 043444 042953
FMN NA NA 1423+22 1524+13 1831-04 1630-16 122429 092238 061350
FOT 3512 3513+18 3612+10 0610+04 0613-11 0618-22 163035 175440 185146
FSD 0717 1716+21 2414+18 2623+12 2726-06 2735-16 283129 283341 303253
FSM 9900 0609+25 0812+18 0906+11 0621-06 0817-16 102233 092743 092754
FWA 9900 3610+24 3217+18 3225+11 3225-06 3317-15 012032 012843 352755
GAG NA 1516+26 1617+18 1719+12 0910-04 1122-17 122533 113443 093053
GCK NA 1718+27 1718+18 1920+12 1611-03 1412-16 141932 112742 073352
GEG NA 9900+16 2211+09 2421+03 2423-10 2430-22 216135 720941 722454
GFK 0907 9900+12 2719+07 2826+04 2758-07 2757-17 287531 288941 299554
GGW NA 1218+09 1213+07 2116+04 2454-07 2464-16 248930 248940 259454
GJT NA NA 1711+22 1716+13 1935-05 1738-15 162628 161538 231151
GLD NA 1722 1822+19 2122+12 1916-03 2017-16 161731 102440 053452
GRB 0511 3213+17 3021+14 3034+09 2836-06 2843-16 284931 305541 306355
GRI NA 1809+23 2116+20 2117+12 2514-03 2517-16 271431 071041 022353
GSP 1905 2205+17 0307+16 0417+10 0319-05 0422-15 042633 042944 033355
GTF NA 2011 2007+09 9900+03 2107-09 2346-18 239230 239740 740553
H51 0816 0727+18 0628+13 0725+10 0831-05 1027-17 122232 132643 164354
H52 0724 0624+17 0621+13 0621+08 0627-05 0628-16 190930 162339 153252
H61 1231 1132+16 1032+12 0932+07 0731-05 0913-15 132029 162039 231453
HAT 9900 3011+16 3207+14 0210+09 0316-07 0327-18 033634 033845 023853
HOU 9900 0309+22 0314+14 0727+10 0525-06 0720-17 090933 141243 162154
HSV 1506 0810+23 0524+18 0528+11 0523-07 0519-16 072432 062643 102053
ICT 2106 2105+27 2107+19 2106+12 0713-03 0609-16 091233 101743 082853
ILM 1907 9900+17 2906+12 0407+09 0423-05 0427-18 043734 044044 043053
IMB NA NA 1906+11 2207+04 1905-10 1911-21 207932 700241 710252
IND 9900 3608+22 3506+20 3313+12 3213-07 3317-15 032032 022343 361555
INK NA 1220+26 1220+17 1124+10 1328-05 1222-18 132635 111642 072151
INL 3207 3308+08 2923+08 2936+05 2848-08 2867-18 287932 299442 800954
JAN 1013 1111+21 0724+17 0632+10 0631-07 0615-16 093233 092742 101652
JAX 1315 1413+18 1511+13 1008+08 0519-06 0522-18 361532 302840 302951
JFK 2616 3012+18 3212+13 3013+08 3020-08 3323-17 332534 333744 332952
JOT 0413 0206+24 3010+18 3115+11 3225-06 3118-15 351431 362143 342755
LAS NA 1529+18 1547+12 1560+07 1565-04 1670-13 176728 175837 174049
LBB NA 1315+26 1315+17 1421+12 1418-05 1129-18 122935 112943 103252
LCH 9900 0410+21 0417+14 0730+08 0523-05 0619-17 990033 200642 181853
LIT 1106 0521+25 0521+18 0718+11 0817-07 0714-15 092633 093243 102254
LKV NA NA 0905+12 9900+04 9900-10 2007-21 198630 198940 209751
